JOIN_NAME,geography_type,median_home_value,home_ref,population,county_income,msa_income,ref_income,affordability_ratio,net_new_units_2021,net_new_units_2022,net_new_units_2023,net_new_units_2024,total_net_new_units,rate_2021,rate_2022,rate_2023,rate_2024,avg_annual_rate
EUREKA,City,375800.0,Place,26302,61135,61135.0,61135.0,6.147051607099043,17.0,54.0,70.0,68.0,209.0,0.6463386814690898,2.053075811725344,2.6613945707550757,2.585354725876359,1.9865409474564673
EXETER,City,273500.0,Place,10280,69489,69489.0,69489.0,3.935874742765042,1.0,0.0,9.0,1.0,11.0,0.09727626459143969,0.0,0.8754863813229572,0.09727626459143969,0.26750972762645914
FAIRFAX,City,1121500.0,Place,7523,142785,133780.0,133780.0,8.38316639258484,14.0,10.0,2.0,8.0,34.0,1.8609597235145552,1.3292569453675396,0.2658513890735079,1.0634055562940317,1.1298684035624087
FAIRFIELD,City,592500.0,Place,119985,99994,99994.0,99994.0,5.92535552133128,398.0,618.0,621.0,281.0,1918.0,3.317081301829395,5.15064383047881,5.1756469558694835,2.3419594115931157,3.996332874942701
FARMERSVILLE,City,237700.0,Place,10336,69489,69489.0,69489.0,3.4206852883190146,2.0,0.0,0.0,2.0,4.0,0.19349845201238391,0.0,0.0,0.19349845201238391,0.09674922600619196
FERNDALE,City,496000.0,Place,1525,61135,61135.0,61135.0,8.113192115809275,4.0,7.0,0.0,2.0,13.0,2.622950819672131,4.590163934426229,0.0,1.3114754098360655,2.1311475409836063
FILLMORE,City,567500.0,Place,16665,107327,107327.0,107327.0,5.287579080753212,96.0,203.0,0.0,0.0,299.0,5.7605760576057605,12.181218121812181,0.0,0.0,4.485448544854485
FIREBAUGH,City,235100.0,Place,8301,71434,71897.0,71897.0,3.269955630972085,68.0,2.0,33.0,24.0,127.0,8.19178412239489,0.24093482712926154,3.9754246476328152,2.8912179255511385,3.824840380677027
FOLSOM,City,702200.0,Place,82140,88724,93986.0,93986.0,7.4713255165662975,758.0,987.0,1011.0,589.0,3345.0,9.228147065984905,12.016070124178231,12.308254200146092,7.170684197711225,10.180788897005112
FONTANA,City,558500.0,Place,211921,82184,86031.0,86031.0,6.4918459625018885,76.0,661.0,196.0,795.0,1728.0,0.3586242043025467,3.1190868295260974,0.9248729479381468,3.75139792658585,2.0384954770881603
FORT BRAGG,City,481200.0,Place,7001,64688,64688.0,64688.0,7.438783081869898,0.0,2.0,31.0,6.0,39.0,0.0,0.28567347521782605,4.427938865876303,0.857020425653478,1.3926581916869019
FORT JONES,City,212700.0,Place,616,55499,,55499.0,3.8325014865132707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORTUNA,City,353200.0,Place,12413,61135,61135.0,61135.0,5.777377934080314,17.0,46.0,17.0,21.0,101.0,1.369531942318537,3.7057923145089826,1.369531942318537,1.6917747522758397,2.034157737855474
FOSTER CITY,City,1774500.0,Place,32964,156000,133780.0,133780.0,13.264314546269995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUNTAIN VALLEY,City,1018600.0,Place,56358,113702,93525.0,93525.0,10.891205560010693,26.0,91.0,125.0,48.0,290.0,0.4613364562262678,1.6146775967919371,2.2179637318570564,0.8516980730331097,1.286418964477093
FOWLER,City,352100.0,Place,6930,71434,71897.0,71897.0,4.897283614059001,53.0,119.0,71.0,70.0,313.0,7.647907647907648,17.17171717171717,10.245310245310245,10.101010101010102,11.291486291486292
FREMONT,City,1289400.0,Place,228518,126240,133780.0,133780.0,9.638211989834057,1633.0,1398.0,266.0,520.0,3817.0,7.146045388109471,6.1176800077018,1.1640220901635758,2.27553190558293,4.175819847889444
FRESNO,City,348500.0,Place,543615,71434,71897.0,71897.0,4.847211983810173,1708.0,1657.0,1790.0,1566.0,6721.0,3.14192949054018,3.048113094745362,3.292771538680868,2.8807152120526474,3.0908823340047644
FULLERTON,City,859600.0,Place,141278,113702,93525.0,93525.0,9.191125367548784,536.0,116.0,119.0,623.0,1394.0,3.7939381927830236,0.8210761760500573,0.8423109047410071,4.409745324820567,2.4667676495986637
GALT,City,465700.0,Place,25665,88724,93986.0,93986.0,4.954993296874003,54.0,131.0,118.0,174.0,477.0,2.104032729398013,5.104227547243327,4.597701149425287,6.779661016949152,4.646405610753945
GARDENA,City,667600.0,Place,59765,87760,93525.0,93525.0,7.138198342689121,51.0,42.0,18.0,45.0,156.0,0.8533422571739312,0.702752447084414,0.30117962017903455,0.7529490504475864,0.6525558437212415
GARDEN GROVE,City,765500.0,Place,170603,113702,93525.0,93525.0,8.184977278802458,221.0,65.0,769.0,269.0,1324.0,1.2954051218325586,0.3810015064213408,4.507540899046324,1.5767600804206257,1.9401769019302124
GILROY,City,975800.0,Place,58561,159674,157444.0,157444.0,6.197759203272275,0.0,126.0,0.0,320.0,446.0,0.0,2.1516026024145765,0.0,5.464387561687813,1.9039975410255974
GLENDALE,City,1043900.0,Place,192270,87760,93525.0,93525.0,11.16172146484897,275.0,490.0,387.0,422.0,1574.0,1.4302803349456492,2.548499505903157,2.012794507723514,2.1948301867165965,2.046601133822229
GLENDORA,City,820800.0,Place,51350,87760,93525.0,93525.0,8.776263031275061,24.0,11.0,83.0,7.0,125.0,0.4673807205452775,0.21421616358325218,1.6163583252190847,0.13631937682570594,0.6085686465433301
GOLETA,City,1002500.0,Place,32693,95977,95977.0,95977.0,10.445210831761777,40.0,204.0,17.0,88.0,349.0,1.2235035022787752,6.239867861621754,0.5199889884684795,2.6917077050133056,2.6687670143455784
GONZALES,City,593900.0,Place,8526,94486,94486.0,94486.0,6.285587282772051,4.0,5.0,7.0,10.0,26.0,0.4691531785127844,0.5864414731409805,0.8210180623973727,1.172882946281961,0.7623739150832747
GRAND TERRACE,City,465800.0,Place,13069,82184,86031.0,86031.0,5.41432739361393,2.0,2.0,1.0,1.0,6.0,0.15303389700818731,0.15303389700818731,0.07651694850409366,0.07651694850409366,0.11477542275614047
GRASS VALLEY,City,458400.0,Place,14126,84905,84905.0,84905.0,5.398975325363642,73.0,14.0,32.0,6.0,125.0,5.167775732691491,0.9910802775024776,2.265326348577092,0.42474869035820473,2.2122327622823166
GREENFIELD,City,462400.0,Place,19759,94486,94486.0,94486.0,4.893846707448723,0.0,0.0,0.0,84.0,84.0,0.0,0.0,0.0,4.251227288830407,1.0628068222076017
GRIDLEY,City,297700.0,Place,7372,68574,68574.0,68574.0,4.34129553475078,15.0,88.0,0.0,0.0,103.0,2.0347259902333152,11.937059142702116,0.0,0.0,3.492946283233858
GROVER BEACH,City,691900.0,Place,12687,93398,93398.0,93398.0,7.408081543502002,35.0,35.0,60.0,76.0,206.0,2.7587294080554896,2.7587294080554896,4.729250413809411,5.990383857491921,4.059273271853078
GUADALUPE,City,452100.0,Place,8422,95977,95977.0,95977.0,4.710503558144139,0.0,34.0,30.0,7.0,71.0,0.0,4.0370458323438605,3.562099263832819,0.8311564948943244,2.107575397767751
GUSTINE,City,422500.0,Place,6118,65044,65044.0,65044.0,6.495602976446713,6.0,0.0,0.0,1.0,7.0,0.9807126511932004,0.0,0.0,0.16345210853220007,0.28604118993135014
HALF MOON BAY,City,1467000.0,Place,11454,156000,133780.0,133780.0,10.965764688294215,14.0,13.0,19.0,24.0,70.0,1.2222804260520341,1.1349746813340318,1.6588091496420463,2.095337873232059,1.5278505325650427
HANFORD,City,323600.0,Place,59389,68750,68750.0,68750.0,4.7069090909090905,109.0,357.0,160.0,408.0,1034.0,1.835356715890148,6.011214197915439,2.6941016013066394,6.86995908333193,4.35265789961104
HAWAIIAN GARDENS,City,509600.0,Place,13816,87760,93525.0,93525.0,5.44881047848169,9.0,2.0,13.0,3.0,27.0,0.6514186450492183,0.1447596988998263,0.9409380428488708,0.21713954834973942,0.4885639837869137
HAWTHORNE,City,813700.0,Place,85933,87760,93525.0,93525.0,8.70034750066827,-4.0,-1.0,21.0,32.0,48.0,-0.046547891962342755,-0.011636972990585689,0.24437643280229945,0.37238313569874204,0.13964367588702825
HAYWARD,City,820700.0,Place,159201,126240,133780.0,133780.0,6.134698759156825,340.0,659.0,431.0,437.0,1867.0,2.135664976978788,4.1394212347912385,2.707269426699581,2.7449576321756775,2.9318283176613216
HEALDSBURG,City,946900.0,Place,11274,102840,102840.0,102840.0,9.207506806690004,-5.0,26.0,84.0,263.0,368.0,-0.4434983147064041,2.3061912364733015,7.450771687067589,23.328011353556857,8.160368990597835
HEMET,City,314200.0,Place,90646,89672,86031.0,86031.0,3.652171891527473,416.0,565.0,892.0,1251.0,3124.0,4.58928138031463,6.233038413167708,9.840478344328487,13.800939920128853,8.61593451448492
HERCULES,City,741200.0,Place,26245,125727,133780.0,133780.0,5.540439527582598,235.0,3.0,0.0,0.0,238.0,8.954086492665269,0.1143074871404077,0.0,0.0,2.2670984949514192
HERMOSA BEACH,City,2000001.0,Place,19248,87760,93525.0,93525.0,21.38466720128308,23.0,-22.0,11.0,45.0,57.0,1.1949293433083958,-1.142975893599335,0.5714879467996675,2.337905236907731,0.7403366583541148
HESPERIA,City,366800.0,Place,100141,82184,86031.0,86031.0,4.263579407422906,0.0,-30330.0,-30088.0,-5784.0,-66202.0,0.0,-302.8729491417102,-300.45635653728243,-57.758560429793995,-165.27196652719664
HIDDEN HILLS,City,2000001.0,Place,2079,87760,93525.0,93525.0,21.38466720128308,-7.0,-4.0,12.0,11.0,12.0,-3.3670033670033668,-1.9240019240019242,5.772005772005772,5.291005291005291,1.443001443001443
HIGHLAND,City,455200.0,Place,56690,82184,86031.0,86031.0,5.291115993072265,7.0,90.0,80.0,301.0,478.0,0.12347856764861528,1.587581584053625,1.4111836302698888,5.309578408890457,2.1079555477156466
HILLSBOROUGH,City,2000001.0,Place,11122,156000,133780.0,133780.0,14.949925250411123,17.0,1.0,7.0,48.0,73.0,1.528502067973386,0.08991188635137565,0.6293832044596295,4.315770544866032,1.6408919259126058
HOLLISTER,City,679300.0,Place,43003,108289,157444.0,157444.0,4.3145499352150605,388.0,254.0,157.0,233.0,1032.0,9.022626328395694,5.906564658279655,3.6509080761807313,5.418226635351021,5.999581424551775
HOLTVILLE,City,268800.0,Place,5606,56393,56393.0,56393.0,4.76654903977444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUGHSON,City,480100.0,Place,7541,79661,79661.0,79661.0,6.026788516337982,25.0,53.0,30.0,30.0,138.0,3.3152101843256863,7.028245590770455,3.9782522211908233,3.9782522211908233,4.574990054369447
HUNTINGTON BEACH,City,1047300.0,Place,196010,113702,93525.0,93525.0,11.198075380914194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTINGTON PARK,City,557600.0,Place,53658,87760,93525.0,93525.0,5.9620422346966055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HURON,City,236500.0,Place,6425,71434,71897.0,71897.0,3.2894279316244073,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,11.206225680933853,2.8015564202334633
IMPERIAL,City,344700.0,Place,20943,56393,56393.0,56393.0,6.112460766407178,176.0,79.0,295.0,0.0,550.0,8.403762593706729,3.772143436947906,14.085852074678892,0.0,6.565439526333382
IMPERIAL BEACH,City,811000.0,Place,25897,102285,102285.0,102285.0,7.928826318619543,2.0,22.0,28.0,29.0,81.0,0.07722902266671816,0.8495192493338997,1.081206317334054,1.1198208286674132,0.7819438545005213
INDIAN WELLS,City,1002200.0,Place,4830,89672,86031.0,86031.0,11.649289209703479,35.0,44.0,91.0,58.0,228.0,7.246376811594203,9.109730848861282,18.84057971014493,12.008281573498964,11.801242236024844
INDIO,City,424700.0,Place,90669,89672,86031.0,86031.0,4.9365926235891715,407.0,258.0,147.0,54.0,866.0,4.488855066229913,2.8455150051285445,1.6212818052476592,0.5955729080501605,2.3878061961640693
INDUSTRY,City,783300.0,County,181,87760,93525.0,93525.0,8.375300721732158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INGLEWOOD,City,744300.0,Place,105575,87760,93525.0,93525.0,7.958299919807538,293.0,250.0,2.0,0.0,545.0,2.7752782382192756,2.3679848448969927,0.01894387875917594,0.0,1.2905517404688611
IONE,City,448300.0,Place,5306,81526,,81526.0,5.498859259622697,84.0,22.0,31.0,46.0,183.0,15.8311345646438,4.1462495288352805,5.842442517904259,8.669430833019224,8.622314361100642
IRVINE,City,1115400.0,Place,308160,113702,93525.0,93525.0,11.926222935044105,2231.0,1797.0,1368.0,1026.0,6422.0,7.239745586708203,5.831386292834891,4.4392523364485985,3.3294392523364484,5.209955867082035
IRWINDALE,City,645800.0,Place,1352,87760,93525.0,93525.0,6.905105586741513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISLETON,City,316900.0,Place,649,88724,93986.0,93986.0,3.371778775562318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JACKSON,City,432600.0,Place,5061,81526,,81526.0,5.30628265829306,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.19758940920766646,0.9879470460383323,0.2963841138114997
JURUPA VALLEY,City,538700.0,Place,106244,89672,86031.0,86031.0,6.261696365263684,222.0,163.0,160.0,27.0,572.0,2.0895297616806596,1.534204284477241,1.5059673958058808,0.2541319980422424,1.345958360001506
KERMAN,City,331500.0,Place,16492,71434,71897.0,71897.0,4.610762618746262,75.0,144.0,49.0,32.0,300.0,4.547659471258792,8.731506184816881,2.9711375212224107,1.9403347077370845,4.547659471258791
KING CITY,City,395800.0,Place,13512,94486,94486.0,94486.0,4.188980378045425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINGSBURG,City,356900.0,Place,12589,71434,71897.0,71897.0,4.964045787724105,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,3.256811502105012,0.814202875526253
LA CAÃÂ±ADA FLINTRIDGE,City,2000001.0,Place,20094,87760,93525.0,93525.0,21.38466720128308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAFAYETTE,City,2000001.0,Place,25277,125727,133780.0,133780.0,14.949925250411123,6.0,70.0,49.0,40.0,165.0,0.2373699410531313,2.7693159789531987,1.938521185267239,1.5824662736875421,1.6319183447402779
LAGUNA BEACH,City,2000001.0,Place,22777,113702,93525.0,93525.0,21.38466720128308,20.0,32.0,79.0,66.0,197.0,0.8780787636651008,1.4049260218641613,3.468411116477148,2.8976599200948328,2.162268955525311
LAGUNA HILLS,City,944000.0,Place,30921,113702,93525.0,93525.0,10.093557872226677,2.0,3.0,1.0,5.0,11.0,0.06468096115908283,0.09702144173862425,0.03234048057954141,0.16170240289770707,0.08893632159373889
LAGUNA NIGUEL,City,1123000.0,Place,64023,113702,93525.0,93525.0,12.007484629778133,2.0,7.0,262.0,311.0,582.0,0.03123877356574981,0.10933570748012432,4.092279337113225,4.857629289474096,2.2726207769082984
LAGUNA WOODS,City,364900.0,Place,17342,113702,93525.0,93525.0,3.9016305800588076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA HABRA,City,716700.0,Place,62233,113702,93525.0,93525.0,7.663191659983961,27.0,35.0,68.0,144.0,274.0,0.4338534218180065,0.5624025838381566,1.092667877171276,2.3138849163627015,1.100702199797535
LA HABRA HEIGHTS,City,1114100.0,Place,5546,87760,93525.0,93525.0,11.912322908313286,7.0,0.0,1.0,1.0,9.0,1.2621709340064913,0.0,0.18031013342949875,0.18031013342949875,0.4056978002163722
LAKE ELSINORE,City,505700.0,Place,71516,89672,86031.0,86031.0,5.878113703200009,441.0,238.0,21.0,197.0,897.0,6.166452262430785,3.3279266178197884,0.2936405839252754,2.7546283349180603,3.1356619497734775
LAKE FOREST,City,876300.0,Place,85846,113702,93525.0,93525.0,9.369687249398556,411.0,343.0,362.0,180.0,1296.0,4.787642988607507,3.9955268737040743,4.216853435221211,2.0967779512149662,3.7742003121869394
LAKEPORT,City,327600.0,Place,5085,58738,58738.0,58738.0,5.577309407879056,75.0,1.0,6.0,8.0,90.0,14.749262536873156,0.19665683382497542,1.1799410029498525,1.5732546705998034,4.424778761061947
LAKEWOOD,City,774100.0,Place,80510,87760,93525.0,93525.0,8.276931301790965,65.0,44.0,107.0,94.0,310.0,0.8073531238355484,0.5465159607502174,1.3290274500062105,1.1675568252391006,0.9626133399577692
LA MESA,City,738800.0,Place,60835,102285,102285.0,102285.0,7.2229554675661145,186.0,40.0,141.0,120.0,487.0,3.057450480808745,0.6575162324319882,2.317744719322758,1.9725486972959647,2.001315032464864
LA MIRADA,City,763200.0,Place,46945,87760,93525.0,93525.0,8.160384923817162,0.0,10.0,21.0,2.0,33.0,0.0,0.2130152305889871,0.4473319842368729,0.04260304611779742,0.17573756523591436
LANCASTER,City,409100.0,Place,170013,87760,93525.0,93525.0,4.37423148890671,26.0,297.0,326.0,1106.0,1755.0,0.15292948186315164,1.7469252351290785,1.9175004264379782,6.505384882332527,2.580685006440684
LA PALMA,City,916600.0,Place,15375,113702,93525.0,93525.0,9.800588078053996,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.13008130081300812,0.06504065040650406,0.048780487804878044
LA PUENTE,City,593200.0,Place,37404,87760,93525.0,93525.0,6.342689120556001,97.0,45.0,34.0,42.0,218.0,2.593305528820447,1.2030798845043311,0.9089936905143835,1.1228745588707092,1.4570634156774676
LA QUINTA,City,612800.0,Place,38299,89672,86031.0,86031.0,7.123013797352117,0.0,0.0,446.0,331.0,777.0,0.0,0.0,11.645212668738088,8.642523303480509,5.07193399305465
LARKSPUR,City,1805100.0,Place,12856,142785,133780.0,133780.0,13.493048288234414,0.0,5.0,51.0,10.0,66.0,0.0,0.38892345986309895,3.9670192906036092,0.7778469197261979,1.2834474175482264
LATHROP,City,605000.0,Place,32696,88531,88531.0,88531.0,6.833764444093029,0.0,-2.0,0.0,0.0,-2.0,0.0,-0.06116956202593589,0.0,0.0,-0.015292390506483972
LA VERNE,City,793900.0,Place,30804,87760,93525.0,93525.0,8.488639401229618,15.0,2.0,14.0,12.0,43.0,0.4869497467861317,0.06492663290481755,0.4544864303337229,0.38955979742890534,0.3489806518633944
LAWNDALE,City,726000.0,Place,31113,87760,93525.0,93525.0,7.762630312750601,2.0,0.0,0.0,-5.0,-3.0,0.06428181146144699,0.0,0.0,-0.16070452865361745,-0.024105679298042616
LEMON GROVE,City,640600.0,Place,27489,102285,102285.0,102285.0,6.262892897296769,0.0,0.0,0.0,160.0,160.0,0.0,0.0,0.0,5.820510022190694,1.4551275055476736
LEMOORE,City,319200.0,Place,27023,68750,68750.0,68750.0,4.642909090909091,32.0,-1.0,20.0,157.0,208.0,1.1841764422899013,-0.037005513821559415,0.7401102764311882,5.809865669984828,1.9242867187210895
LINCOLN,City,628500.0,Place,51629,114678,93986.0,93986.0,6.687166173685442,172.0,217.0,628.0,525.0,1542.0,3.3314610006004375,4.20306416936218,12.163706444052762,10.168703635553662,7.46673381239226
LINDSAY,City,268400.0,Place,12572,69489,69489.0,69489.0,3.862481831656809,6.0,55.0,3.0,0.0,64.0,0.4772510340439071,4.374801145402482,0.23862551702195356,0.0,1.2726694241170855
LIVE OAK,City,317900.0,Place,9264,75450,74762.0,74762.0,4.25216018833097,69.0,56.0,18.0,0.0,143.0,7.448186528497409,6.044905008635579,1.9430051813471503,0.0,3.8590241796200346
LIVERMORE,City,1038600.0,Place,85870,126240,133780.0,133780.0,7.763492300792346,126.0,69.0,287.0,82.0,564.0,1.4673343426109233,0.8035402352393153,3.342261558169326,0.9549318737626644,1.6420170024455572
LIVINGSTON,City,339800.0,Place,14450,65044,65044.0,65044.0,5.224155955968268,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.1384083044982699,0.3460207612456747,0.12110726643598616
LODI,City,468800.0,Place,67008,88531,88531.0,88531.0,5.295320283290598,495.0,775.0,132.0,89.0,1491.0,7.387177650429799,11.565783190066858,1.9699140401146131,1.328199617956065,5.562768624641834
LOMA LINDA,City,557800.0,Place,25021,82184,86031.0,86031.0,6.483709360579326,93.0,80.0,21.0,29.0,223.0,3.716877822628992,3.1973142560249395,0.8392949922065465,1.1590264178090404,2.2281283721673795
LOMITA,City,792100.0,Place,20409,87760,93525.0,93525.0,8.469393210371559,7.0,231.0,17.0,45.0,300.0,0.3429859375765594,11.31853594002646,0.8329658484002156,2.204909598706453,3.6748493311774215
LOMPOC,City,433800.0,Place,43819,95977,95977.0,95977.0,4.519832876626692,44.0,19.0,4.0,43.0,110.0,1.0041306282662772,0.4336018622058924,0.09128460256966157,0.9813094776238618,0.6275816426664232
LONG BEACH,City,762200.0,Place,458491,87760,93525.0,93525.0,8.149692595562684,1365.0,1007.0,1215.0,1400.0,4987.0,2.9771576759412945,2.196335369723724,2.6499974917719213,3.0534950522474813,2.7192463974211054
LOOMIS,City,649800.0,Place,6809,114678,93986.0,93986.0,6.913795671695785,8.0,0.0,7.0,5.0,20.0,1.174915552944632,0.0,1.0280511088265532,0.7343222205903951,0.7343222205903951
LOS ALAMITOS,City,1003900.0,Place,11784,113702,93525.0,93525.0,10.734028334669874,31.0,109.0,0.0,8.0,148.0,2.630685675492193,9.249830278343516,0.0,0.678886625933469,3.1398506449422947
LOS ALTOS,City,2000001.0,Place,30736,159674,157444.0,157444.0,12.702935646960189,22.0,40.0,49.0,132.0,243.0,0.7157730348776679,1.3014055179593962,1.5942217595002603,4.294638209266007,1.976509630400833
LOS ALTOS HILLS,City,2000001.0,Place,8367,159674,157444.0,157444.0,12.702935646960189,-2.0,12.0,1.0,-2.0,9.0,-0.2390343014222541,1.4342058085335248,0.11951715071112705,-0.2390343014222541,0.26891358910003593
LOS ANGELES,City,879500.0,Place,3857897,87760,93525.0,93525.0,9.403902699812884,17131.0,15588.0,15567.0,17156.0,65442.0,4.4405021699646205,4.040543332286995,4.035099952124176,4.446982384444167,4.240781959704989
LOS BANOS,City,419600.0,Place,46776,65044,65044.0,65044.0,6.451017772584712,410.0,299.0,138.0,94.0,941.0,8.765178724132035,6.3921669232084835,2.9502308876346843,2.009577561142466,5.0292885240294165
LOS GATOS,City,2000001.0,Place,32773,159674,157444.0,157444.0,12.702935646960189,48.0,65.0,246.0,77.0,436.0,1.4646202666829402,1.9833399444664814,7.506178866750069,2.3494950111372166,3.325908522259177
LOYALTON,City,190700.0,Place,830,60000,,60000.0,3.1783333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYNWOOD,City,569400.0,Place,65291,87760,93525.0,93525.0,6.088211708099439,21.0,23.0,0.0,23.0,67.0,0.32163697906296423,0.3522690723070561,0.0,0.3522690723070561,0.2565437809192691
MCFARLAND,City,245500.0,Place,14138,67660,67660.0,67660.0,3.6284362991427725,0.0,0.0,48.0,87.0,135.0,0.0,0.0,3.3951053897298062,6.153628518885274,2.38718347715377
MADERA,City,335900.0,Place,67133,75496,71897.0,71897.0,4.671961277939274,165.0,172.0,216.0,0.0,553.0,2.4578076355890546,2.5620782625534386,3.217493632043853,0.0,2.0593448825465863
MALIBU,City,2000001.0,Place,10516,87760,93525.0,93525.0,21.38466720128308,2.0,-13.0,-54.0,-41.0,-106.0,0.1901863826550019,-1.2362114872575125,-5.135032331685052,-3.898820844427539,-2.5199695701787754
MAMMOTH LAKES,City,657000.0,Place,7233,86953,,86953.0,7.555806010143411,50.0,46.0,34.0,50.0,180.0,6.912760956726117,6.359740080188027,4.700677450573759,6.912760956726117,6.221484861053505
MANHATTAN BEACH,City,2000001.0,Place,34584,87760,93525.0,93525.0,21.38466720128308,6.0,0.0,16.0,12.0,34.0,0.17349063150589866,0.0,0.4626416840157298,0.3469812630117973,0.24577839463335646
MANTECA,City,561200.0,Place,86521,88531,88531.0,88531.0,6.339022489297534,0.0,1059.0,814.0,0.0,1873.0,0.0,12.239803053593924,9.408120571884282,0.0,5.411980906369552
MARICOPA,City,121800.0,Place,1015,67660,67660.0,67660.0,1.8001773573751108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA,City,760800.0,Place,22324,94486,94486.0,94486.0,8.051986537688123,132.0,132.0,0.0,259.0,523.0,5.9129188317505825,5.9129188317505825,0.0,11.601863465328794,5.85692528220749
MARTINEZ,City,824700.0,Place,36926,125727,133780.0,133780.0,6.164598594707729,0.0,0.0,90.0,47.0,137.0,0.0,0.0,2.437307046525483,1.2728159020744192,0.9275307371499756
MARYSVILLE,City,282700.0,Place,12703,73313,74762.0,74762.0,3.7813327626334234,0.0,0.0,71.0,0.0,71.0,0.0,0.0,5.589230890340864,0.0,1.397307722585216
MAYWOOD,City,595000.0,Place,24593,87760,93525.0,93525.0,6.361935311414061,8.0,12.0,9.0,0.0,29.0,0.32529581588256823,0.4879437238238523,0.3659577928678892,0.0,0.2947993331435774
MENDOTA,City,250400.0,Place,12554,71434,71897.0,71897.0,3.4827600595296047,0.0,0.0,14.0,0.0,14.0,0.0,0.0,1.1151824119802454,0.0,0.27879560299506134
MENIFEE,City,487200.0,Place,107020,89672,86031.0,86031.0,5.663074938103707,1410.0,1287.0,652.0,1120.0,4469.0,13.175107456550178,12.025789572042608,6.092319192674267,10.465333582507943,10.43963745094375
MENLO PARK,City,2000001.0,Place,32775,156000,133780.0,133780.0,14.949925250411123,-63.0,29.0,251.0,20.0,237.0,-1.9221967963386726,0.8848207475209764,7.658276125095346,0.6102212051868803,1.8077803203661325
MERCED,City,347700.0,Place,89766,65044,65044.0,65044.0,5.34561220097165,892.0,808.0,628.0,354.0,2682.0,9.936947173762894,9.001180847982532,6.995967292738899,3.9435866586458124,7.469420493282535
MILLBRAE,City,1929700.0,Place,22589,156000,133780.0,133780.0,14.42442816564509,19.0,82.0,263.0,10.0,374.0,0.8411173580061092,3.6300854398158395,11.642835008189826,0.4426933463190048,4.139182788082694
MILL VALLEY,City,2000001.0,Place,14064,142785,133780.0,133780.0,14.949925250411123,-1.0,12.0,19.0,24.0,54.0,-0.07110352673492605,0.8532423208191127,1.3509670079635951,1.7064846416382253,0.9598976109215017
MILPITAS,City,1180000.0,Place,78216,159674,157444.0,157444.0,7.4947282843423695,97.0,191.0,161.0,77.0,526.0,1.2401554669121408,2.4419556101053495,2.0584023729160275,0.9844533087859262,1.681241689679861
MISSION VIEJO,City,946300.0,Place,92415,113702,93525.0,93525.0,10.118150227211975,32.0,99.0,124.0,215.0,470.0,0.3462641346101823,1.0712546664502516,1.3417735216144566,2.3264621544121624,1.2714386192717633
MODESTO,City,415600.0,Place,218614,79661,79661.0,79661.0,5.217107493001595,302.0,648.0,440.0,219.0,1609.0,1.3814302835134071,2.964128555353271,2.0126798832645667,1.0017656691703185,1.840001097825391
MONROVIA,City,891700.0,Place,37553,87760,93525.0,93525.0,9.534349104517508,23.0,171.0,64.0,493.0,751.0,0.6124677122999493,4.553564295795276,1.704257982052033,13.128112267994569,4.999600564535457
MONTAGUE,City,181300.0,Place,1486,55499,,55499.0,3.2667255265860646,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.3458950201884252,0.3364737550471063
MONTCLAIR,City,549600.0,Place,37809,82184,86031.0,86031.0,6.388394880915019,0.0,25.0,29.0,5.0,59.0,0.0,0.6612182284641223,0.7670131450183818,0.13224364569282449,0.3901187547938321
MONTEBELLO,City,660700.0,Place,61376,87760,93525.0,93525.0,7.064421277733226,1.0,0.0,40.0,234.0,275.0,0.01629301355578728,0.0,0.6517205422314911,3.812565172054223,1.1201446819603753
MONTEREY,City,1003300.0,Place,29772,94486,94486.0,94486.0,10.618504328683615,33.0,58.0,84.0,99.0,274.0,1.1084240225715438,1.9481391911863495,2.8214429665457477,3.325272067714631,2.300819562004568
