COUNTYA,CBSAA
001,41860
003,23820
007,17020
013,41860
015,18860
017,40900
019,23420
023,21700
025,20940
027,13860
029,12540
031,25260
033,17340
035,45000
037,31080
039,23420
041,41860
045,46380
047,32900
053,41500
055,34900
057,46020
059,31080
061,40900
065,40140
067,40900
069,41940
071,40140
073,41740
075,41860
077,44700
079,42020
081,41860
083,42200
085,41940
087,42100
089,39820
095,46700
097,42220
099,33700
101,49700
103,39780
107,47300
109,43760
111,37100
113,40900
115,49700
